order;iso_currency_code;country;currency;symbol;rel;rate
1;afn;Afghanistan;Afghani;Afs;AFN/EUR;0,01327000
2;dzd;Algeria;Dinar;DA;DZD/EUR;0,00679100
3;ars;Argentina;Peso;$;ARS/EUR;0,00094000
4;aud;Australia;Dollar;$;AUD/EUR;0,61890000
5;bhd;Bahrain;Dinar;BD;BHD/EUR;2,41380000
6;brl;Brazil;Real;R$;BRL/EUR;0,16710000
7;cad;Canada;Dollar;$;CAD/EUR;0,67090000
8;kyd;Cayman Islands;Dollar;$;KYD/EUR;1,09750000
9;cny;China;Yuan;¥;CNY/EUR;0,12980000
10;dkk;Denmark;Krone;kr;DKK/EUR;0,13410000
11;egp;Egypt;Pound;LE;EGP/EUR;0,01880000
12;eur;Euro Zone;Euro;€;eur/eur;
13;hkd;Hong Kong;Dollar;$;HKD/EUR;0,11730000
14;huf;Hungary;Forint;Ft;HUF/EUR;0,00248900
15;isk;Iceland;Krona;kr;ISK/EUR;0,00671000
16;inr;India;Rupee;₹;INR/EUR;0,01084000
17;iqd;Iraq;Dinar;ID;IQD/EUR;0,00069480
18;ils;Israel;New Shekel;NIS;ILS/EUR;0,23810000
19;jpy;Japan;Yen;¥;JPY/EUR;0,00612400
20;lbp;Lebanon;Pound;LL;LBP/EUR;0,00001020
21;mxn;Mexico;Peso;$;MXN/EUR;0,04715000
22;mad;Morocco;Dirham;DH;MAD/EUR;0,09272000
23;nzd;New Zealand;Dollar;$;NZD/EUR;0,56090000
24;nok;Norway;Kroner;kr;NOK/EUR;0,08530000
25;qar;Qatar;Rial;QR;QAR/EUR;0,24980000
26;rub;Russia;Ruble;₽;RUB/EUR;0,00958800
27;sar;Saudi Arabia;Riyal;SR;SAR/EUR;0,24250000
28;sgd;Singapore;Dollar;$;SGD/EUR;0,69810000
29;zar;South Africa;Rand;R;ZAR/EUR;0,05200000
30;krw;South Korean;Won;₩;KRW/EUR;0,00067610
31;sek;Sweden;Krona;kr;SEK/EUR;0,08780000
32;chf;Switzerland;Franc;Fr;CHF/EUR;1,06120000
33;twd;Taiwan;Dollar;$;TWD/EUR;0,02818000
34;thb;Thailand;Baht;B;THB/EUR;0,02735000
35;tnd;Tunisia;Dinar;DT;TND/EUR;0,29580000
36;try;Turkey;New Lira;₺;TRY/EUR;0,02660000
37;aed;United Arab Emirates;Dirham;DH;AED/EUR;0,24800000
38;gbp;United Kingdom;Pound;£;GBP/EUR;1,19480000
39;usd;United States;Dollar;$;USD/EUR;0,91090000
